ra,dec,ebv_sfd
2.5962353943738443,-86.34296692324091,0.0959
1.928517529368451,-78.14753254014825,0.0632
1.892073838006084,-71.65132973786497,0.0308
2.0199335586220406,-63.77823885816183,0.0174
2.018114438387385,-55.89266486266713,0.0124
2.0023636970013987,-47.9063597880321,0.0091
1.9415949485726272,-39.87888542483615,0.0121
1.9947351450411968,-31.984951964167525,0.0167
2.0628860731880008,-23.97224951901209,0.0208
2.0409066556943367,-15.96232592517518,0.0261
2.009770612458317,-8.076658076029716,0.036
2.009800153360357,-0.07849363129328817,0.0655
2.0933986726838842,7.863721221088179,0.145
2.490572370111072,12.475066353770785,0.0946
7.126204915440619,-85.61484790099358,0.1013
8.302864232989895,-77.82322213140273,0.065
7.843805093075282,-71.70647623464859,0.0383
8.071909572574631,-63.78693032070212,0.0168
8.099581362269227,-55.94360251646361,0.0128
7.730944954306406,-48.40382834487396,0.0141
7.76038852035873,-39.46297081607191,0.0155
8.057363470371783,-31.94206144490707,0.0144
8.013621426684377,-23.98209745479781,0.0173
7.9805613284363455,-16.045116341762366,0.0259
8.009883628947795,-8.020473165679602,0.0451
8.02130610178101,-0.12717937682088964,0.021
7.798192665665272,8.02039033300433,0.0345
8.348892800883348,13.627763884585944,0.0756
16.195447596890656,-85.85698516386665,0.0944
16.05857612457715,-78.28707894444926,0.0614
15.894689422176656,-71.71144550285725,0.1688
15.982043383737713,-63.69689050245623,0.0176
16.010398416774816,-55.93309182686869,0.02
15.950316282748428,-47.927091391456564,0.0148
16.00672005523478,-39.84038401916873,0.0145
16.00701496018176,-31.94512289368988,0.023
16.036484071130335,-23.998929898896392,0.0217
16.01733783181345,-15.99837897139406,0.0203
16.02207686864314,-7.980712570899845,0.061
15.989869925164252,-0.07119096791058721,0.0405
16.002371603983647,8.205452219446936,0.0561
16.386626398519503,15.1533016804871,0.0977
19.87433972994322,20.201073427245714,0.0556
24.38465581940595,-85.94053945514004,0.0927
23.92859629845188,-78.19466920384569,0.0643
23.83704308122252,-71.81138611880517,0.0453
24.039263834153385,-63.74005447887386,0.0252
23.930280474422737,-55.831929726260896,0.028
23.9570184245909,-47.859207711963194,0.0186
23.979350437077965,-39.910398747585404,0.0141
23.956413892881834,-31.79389144446243,0.0196
23.995277722541925,-24.03155408669056,0.0108
23.975321539878802,-16.012185791152163,0.0154
23.995086762227363,-7.978909907583314,0.0332
24.04340855757433,-0.043950924619962445,0.0294
24.00878858676824,8.020251609344177,0.0505
24.02105953696869,15.836537344378828,0.0769
24.999620146818987,20.90900982065001,0.0668
32.57111318285189,-85.8169411668773,0.085
32.40343318766398,-78.22300652949521,0.0641
31.930651862298348,-71.7567758128149,0.0277
31.987971395973414,-63.87966433782647,0.0268
32.04356966525818,-55.8742402697585,0.0321
32.0077613507109,-47.88176812638611,0.0169
31.964729030787034,-39.89225876640963,0.0102
31.981970971190414,-31.914686520333547,0.0195
31.965444388424725,-23.93990736816385,0.0152
32.078232265890875,-15.968273246245467,0.0288
31.785050059267565,-8.349332371760786,0.0215
31.893826727967884,0.025879746039688425,0.0267
32.061176386777724,8.159937589223416,0.0754
31.956759037191357,15.776887316443958,0.0674
32.44016194265359,22.009393730875868,0.1307
40.990131489986055,-85.81291159790118,0.0884
40.16729180026809,-78.1887053449216,0.075
39.890592200358775,-71.81843977643481,0.0243
39.887759366748405,-63.779159519102436,0.0259
40.00250234442075,-55.876830965933706,0.0304
40.0498354539517,-47.97883925071884,0.019
39.992632236524415,-39.95364547530513,0.0187
40.04009065256102,-31.90747872638242,0.0241
39.93516904356165,-23.895087967068868,0.0246
40.023492085870245,-15.956033502632208,0.0366
40.22016374671647,-8.191815505730862,0.0259
40.11585035921032,-0.0766594859398069,0.0245
39.81774128754573,8.10724364842943,0.1517
39.89357695710161,15.938607132928462,0.1103
40.29393590855566,23.301487225256047,0.166
48.39310120164062,-86.47040141113176,0.114
47.795956512039446,-77.97588217669563,0.1341
48.00841784414002,-71.74133216724088,0.0304
47.918530471039006,-63.859228924468695,0.0269
47.977270293061565,-55.825079016912234,0.0141
47.96724754103337,-47.83448019274833,0.0172
48.05889423813332,-39.92678998184207,0.0151
47.88515208940616,-32.1001424077436,0.0149
47.94981698225494,-23.813116771272977,0.0189
47.95042898186573,-16.013667230873175,0.0361
